"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6537","Ajout collaborateur","chromium","Mon Oct 14 12:06:32 UTC 2024","passed","Mon Oct 14 12:06:38 UTC 2024","","demoFixture.spec.ts","",""
"","11803","valider une demande","chromium","Mon Oct 14 12:06:32 UTC 2024","passed","Mon Oct 14 12:06:44 UTC 2024","","demoFixture.spec.ts","",""
"","7389","get started link","chromium","Mon Oct 14 12:06:32 UTC 2024","passed","Mon Oct 14 12:06:39 UTC 2024","","connectF.spec.ts","",""
"","9577","test update demande","chromium","Mon Oct 14 12:06:41 UTC 2024","passed","Mon Oct 14 12:06:51 UTC 2024","","login.spec.ts","",""
"","6213","get started link","chromium","Mon Oct 14 12:06:41 UTC 2024","passed","Mon Oct 14 12:06:47 UTC 2024","","login.spec.ts","",""
"","1778","has title","chromium","Mon Oct 14 12:06:39 UTC 2024","passed","Mon Oct 14 12:06:41 UTC 2024","","example.spec.ts","",""
"","1587","get started link","chromium","Mon Oct 14 12:06:40 UTC 2024","passed","Mon Oct 14 12:06:41 UTC 2024","","example.spec.ts","",""
"","11629","update collab","chromium","Mon Oct 14 12:06:32 UTC 2024","passed","Mon Oct 14 12:06:43 UTC 2024","","connectF.spec.ts","",""
