"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4327","test update demande","chromium","Mon Oct 14 12:41:14 UTC 2024","passed","Mon Oct 14 12:41:19 UTC 2024","","login.spec.ts","",""
"","3970","get started link","chromium","Mon Oct 14 12:40:53 UTC 2024","passed","Mon Oct 14 12:40:57 UTC 2024","","connectF.spec.ts","",""
"","465","get started link","chromium","Mon Oct 14 12:41:11 UTC 2024","passed","Mon Oct 14 12:41:12 UTC 2024","","example.spec.ts","",""
"","2768","Ajout collaborateur","chromium","Mon Oct 14 12:41:02 UTC 2024","passed","Mon Oct 14 12:41:05 UTC 2024","","demoFixture.spec.ts","",""
"","5714","valider une demande","chromium","Mon Oct 14 12:41:05 UTC 2024","passed","Mon Oct 14 12:41:11 UTC 2024","","demoFixture.spec.ts","",""
"","414","has title","chromium","Mon Oct 14 12:41:11 UTC 2024","passed","Mon Oct 14 12:41:11 UTC 2024","","example.spec.ts","",""
"","2729","get started link","chromium","Mon Oct 14 12:41:12 UTC 2024","passed","Mon Oct 14 12:41:14 UTC 2024","","login.spec.ts","",""
"","4708","update collab","chromium","Mon Oct 14 12:40:58 UTC 2024","passed","Mon Oct 14 12:41:02 UTC 2024","","connectF.spec.ts","",""
